__time,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1778092886.564506,,,,1778092886.564378023,0.767156024,-0.446525752,-0.798444778,-0.271810857
1778092886.565391,-5.706732788,-1.872531055,0.000000000,,,,,
1778092886.565406,,,,1778092886.565303326,0.766707035,-0.452192058,-0.798716510,-0.273670123
1778092886.566530,-5.712244502,-1.843033941,0.000000000,,,,,
1778092886.566544,,,,1778092886.566429853,0.766191593,-0.458612153,-0.799026421,-0.275741542
1778092886.567333,-5.718488944,-1.809765022,0.000000000,,,,,
1778092886.567389,,,,1778092886.567302942,0.765787143,-0.463601020,-0.799268358,-0.277320399
1778092886.568412,-5.723316917,-1.784108879,0.000000000,,,,,
1778092886.568428,,,,1778092886.568318129,0.765314621,-0.469362855,-0.799549353,-0.279116515
1778092886.569479,-5.728894471,-1.754589018,0.000000000,,,,,
1778092886.569566,,,,1778092886.569329023,0.764838336,-0.475105968,-0.799830925,-0.280875459
1778092886.570469,-5.734444758,-1.725320955,0.000000000,,,,,
1778092886.570512,,,,1778092886.570333004,0.764357794,-0.480836892,-0.800113352,-0.282599720
1778092886.571418,-5.739974533,-1.696267205,0.000000000,,,,,
1778092886.571439,,,,1778092886.571351767,0.763866452,-0.486632424,-0.800400416,-0.284312406
1778092886.572514,-5.745559048,-1.667034362,0.000000000,,,,,
1778092886.572562,,,,1778092886.572385788,0.763367985,-0.492448199,-0.800689911,-0.285999813
1778092886.573470,-5.751155072,-1.637848961,0.000000000,,,,,
1778092886.573511,,,,1778092886.573354483,0.762874251,-0.498148388,-0.800974985,-0.287623147
1778092886.574541,-5.756630657,-1.609392544,0.000000000,,,,,
1778092886.574557,,,,1778092886.574443102,0.762313748,-0.504543498,-0.801296495,-0.289411041
1778092886.575410,-5.762774701,-1.577598652,0.000000000,,,,,
1778092886.575427,,,,1778092886.575306416,0.761874481,-0.509511782,-0.801547179,-0.290771142
1778092886.576610,-5.767526115,-1.553073123,0.000000000,,,,,
1778092886.576627,,,,1778092886.576465130,0.761290179,-0.516042201,-0.801878403,-0.292529647
1778092886.577520,-5.773785804,-1.520912793,0.000000000,,,,,
1778092886.577536,,,,1778092886.577428341,0.760773915,-0.521755224,-0.802169343,-0.294034553
1778092886.578431,-5.779244497,-1.492957177,0.000000000,,,,,
1778092886.578445,,,,1778092886.578343391,0.760291424,-0.527045908,-0.802439772,-0.295401300
1778092886.579393,-5.784289055,-1.467201912,0.000000000,,,,,
1778092886.579510,,,,1778092886.579334497,0.759772357,-0.532682357,-0.802729016,-0.296831002
1778092886.580434,-5.789661636,-1.439869654,0.000000000,,,,,
1778092886.580479,,,,1778092886.580349684,0.759225817,-0.538557821,-0.803031729,-0.298292211
1778092886.581512,-5.795258784,-1.411498672,0.000000000,,,,,
1778092886.581532,,,,1778092886.581434488,0.758657681,-0.544603499,-0.803344447,-0.299764701
1778092886.582627,-5.801013787,-1.382435288,0.000000000,,,,,
1778092886.582682,,,,1778092886.582437038,0.758115532,-0.550318403,-0.803641104,-0.301126616
1778092886.583461,-5.806444032,-1.355102101,0.000000000,,,,,
1778092886.583500,,,,1778092886.583363295,0.757580448,-0.555907343,-0.803932206,-0.302430957
1778092886.584533,-5.811747834,-1.328492608,0.000000000,,,,,
1778092886.584550,,,,1778092886.584396124,0.756981474,-0.562100341,-0.804255985,-0.303846599
1778092886.585365,-5.817626925,-1.299110755,0.000000000,,,,,
1778092886.585390,,,,1778092886.585308790,0.756460276,-0.567443843,-0.804536164,-0.305039835
1778092886.586357,-5.822685177,-1.273902461,0.000000000,,,,,
1778092886.586374,,,,1778092886.586296320,0.755890099,-0.573235453,-0.804840837,-0.306306938
1778092886.587491,-5.828168293,-1.246672992,0.000000000,,,,,
1778092886.587507,,,,1778092886.587403059,0.755246614,-0.579704848,-0.805182380,-0.307690773
1778092886.588524,-5.834296510,-1.216360295,0.000000000,,,,,
1778092886.588565,,,,1778092886.588370562,0.754697589,-0.585178690,-0.805472132,-0.308831984
1778092886.589471,-5.839465675,-1.190862523,0.000000000,,,,,
1778092886.589489,,,,1778092886.589370489,0.754102506,-0.591057922,-0.805784274,-0.310030956
1778092886.590465,-5.845018191,-1.163568781,0.000000000,,,,,
1778092886.590482,,,,1778092886.590334177,0.753517074,-0.596791681,-0.806089523,-0.311172377
1778092886.591589,-5.850427283,-1.137064325,0.000000000,,,,,
1778092886.591609,,,,1778092886.591440439,0.752863226,-0.603134035,-0.806428197,-0.312405050
1778092886.592628,-5.856413708,-1.107840355,0.000000000,,,,,
1778092886.592648,,,,1778092886.592503309,0.752242622,-0.609101047,-0.806747651,-0.313533812
1778092886.593487,-5.862036767,-1.080477022,0.000000000,,,,,
1778092886.593502,,,,1778092886.593407631,0.751645361,-0.614795899,-0.807053263,-0.314583473
1778092886.594470,-5.867396343,-1.054474639,0.000000000,,,,,
